494,Victini,Psychic,Fire,100,100,100,100,100,100
495,Snivy,Grass,,45,45,55,45,55,63
496,Servine,Grass,,60,60,75,60,75,83
497,Serperior,Grass,,75,75,95,75,95,113
498,Tepig,Fire,,65,63,45,45,45,45
499,Pignite,Fire,Fighting,90,93,55,70,55,55
500,Emboar,Fire,Fighting,110,123,65,100,65,65
501,Oshawott,Water,,55,55,45,63,45,45
502,Dewott,Water,,75,75,60,83,60,60
503,Samurott,Water,,95,100,85,108,70,70
504,Patrat,Normal,,45,55,39,35,39,42
505,Watchog,Normal,,60,85,69,60,69,77
506,Lillipup,Normal,,45,60,45,25,45,55
507,Herdier,Normal,,65,80,65,35,65,60
508,Stoutland,Normal,,85,110,90,45,90,80
509,Purrloin,Dark,,41,50,37,50,37,66
510,Liepard,Dark,,64,88,50,88,50,106
511,Pansage,Grass,,50,53,48,53,48,64
512,Simisage,Grass,,75,98,63,98,63,101
513,Pansear,Fire,,50,53,48,53,48,64
514,Simisear,Fire,,75,98,63,98,63,101
515,Panpour,Water,,50,53,48,53,48,64
516,Simipour,Water,,75,98,63,98,63,101
517,Munna,Psychic,,76,25,45,67,55,24
518,Musharna,Psychic,,116,55,85,107,95,29
519,Pidove,Normal,Flying,50,55,50,36,30,43
520,Tranquill,Normal,Flying,62,77,62,50,42,65
521,Unfezant,Normal,Flying,80,115,80,65,55,93
522,Blitzle,Electric,,45,60,32,50,32,76
523,Zebstrika,Electric,,75,100,63,80,63,116
524,Roggenrola,Rock,,55,75,85,25,25,15
525,Boldore,Rock,,70,105,105,50,40,20
526,Gigalith,Rock,,85,135,130,60,80,25
527,Woobat,Psychic,Flying,65,45,43,55,43,72
528,Swoobat,Psychic,Flying,67,57,55,77,55,114
529,Drilbur,Ground,,60,85,40,30,45,68
530,Excadrill,Ground,Steel,110,135,60,50,65,88
531,Audino,Normal,,103,60,86,60,86,50
532,Timburr,Fighting,,75,80,55,25,35,35
533,Gurdurr,Fighting,,85,105,85,40,50,40
534,Conkeldurr,Fighting,,105,140,95,55,65,45
535,Tympole,Water,,50,50,40,50,40,64
536,Palpitoad,Water,Ground,75,65,55,65,55,69
537,Seismitoad,Water,Ground,105,95,75,85,75,74
538,Throh,Fighting,,120,100,85,30,85,45
539,Sawk,Fighting,,75,125,75,30,75,85
